Step,Time,L1_V,L2_V,Off1,Off2,Drift_En,Lim_En
0,0,0.5,0.5,128,128,0,0
10,0.1,0.5,0.5,128,128,0,0
20,0.2,0.455,0.455,128,128,0,0
30,0.3,0.455,0.455,128,128,0,0
40,0.4,0.455,0.455,128,128,0,0
50,0.5,0.455,0.455,128,128,0,0
60,0.6,0.455,0.455,128,128,0,0
70,0.7,0.455,0.455,128,128,0,0
80,0.8,0.455,0.455,128,128,0,0
90,0.9,0.455,0.455,128,128,0,0
100,1,0.455,0.455,128,128,0,0
110,1.1,0.455,0.455,128,128,0,0
120,1.2,0.455,0.455,128,128,0,0
130,1.3,0.455,0.455,128,128,0,0
140,1.4,0.455,0.455,128,128,0,0
150,1.5,0.455,0.455,128,128,0,0
160,1.6,0.455,0.455,128,128,0,0
170,1.7,0.455,0.455,128,128,0,0
180,1.8,0.455,0.455,128,128,0,0
190,1.9,0.455,0.455,128,128,0,0
200,2,0.455,0.455,128,128,0,0
210,2.1,0.455,0.455,128,128,0,0
220,2.2,0.455,0.455,128,128,0,0
230,2.3,0.455,0.455,128,128,0,0
240,2.4,0.455,0.455,128,128,0,0
250,2.5,0.455,0.455,128,128,0,0
260,2.6,0.455,0.455,128,128,0,0
270,2.7,0.455,0.455,128,128,0,0
280,2.8,0.455,0.455,128,128,0,0
290,2.9,0.455,0.455,128,128,0,0
300,3,0.4965,0.5185,128,128,0,0
310,3.1,0.492,0.501,127,129,0,0
320,3.2,0.493737,0.49075,127,131,0,0
330,3.3,0.488242,0.519674,127,132,0,0
340,3.4,0.509245,0.558841,126,133,0,0
350,3.5,0.471726,0.555577,126,134,0,0
360,3.6,0.463979,0.546423,125,135,0,0
370,3.7,0.471954,0.56796,125,136,0,0
380,3.8,0.497207,0.565059,125,137,0,0
390,3.9,0.489461,0.600506,124,138,0,0
400,4,0.481713,0.602291,124,138,0,0
410,4.1,0.485439,0.589656,124,139,0,0
420,4.2,0.491691,0.600285,124,139,0,0
430,4.3,0.481191,0.606785,124,140,0,0
440,4.4,0.457444,0.631231,123,140,0,0
450,4.5,0.437184,0.599136,123,140,0,0
460,4.6,0.442684,0.636136,123,141,0,0
470,4.7,0.479434,0.634911,123,141,0,0
480,4.8,0.467434,0.636911,123,141,0,0
490,4.9,0.456434,0.609411,123,142,0,0
500,5,0.459934,0.647411,123,142,0,0
510,5.1,0.482184,0.627985,123,142,0,0
520,5.2,0.448184,0.655985,123,142,0,0
530,5.3,0.472684,0.656985,123,142,0,0
540,5.4,0.454684,0.665485,123,142,0,0
550,5.5,0.449184,0.630985,122,142,0,0
560,5.6,0.485184,0.659985,122,142,0,0
570,5.7,0.45295,0.637431,122,142,0,0
