Step,Time,L1_V,L2_V,Off1,Off2,Drift_En,Lim_En
0,0,0.5,0.5,128,128,0,0
10,0.1,0.5,0.5,128,128,0,0
20,0.2,0.5,0.5,128,128,0,0
30,0.3,0.489,0.4945,128,128,0,0
40,0.4,0.483,0.483,127,129,0,0
50,0.5,0.497,0.4985,127,130,0,0
60,0.6,0.517,0.499,126,132,0,0
70,0.7,0.490989,0.488486,126,133,0,0
80,0.8,0.486742,0.508674,125,135,0,0
90,0.9,0.492472,0.540118,125,136,0,0
100,1,0.494226,0.553077,125,137,0,0
110,1.1,0.451454,0.56496,124,138,0,0
120,1.2,0.467707,0.566059,124,139,0,0
130,1.3,0.452461,0.595006,124,140,0,0
140,1.4,0.451439,0.628156,123,141,0,0
150,1.5,0.454691,0.631785,123,141,0,0
160,1.6,0.489944,0.600231,123,141,0,0
170,1.7,0.445934,0.633411,123,142,0,0
180,1.8,0.457434,0.625911,123,142,0,0
190,1.9,0.450434,0.654911,123,142,0,0
200,2,0.455684,0.653985,122,142,0,0
210,2.1,0.463184,0.619985,122,142,0,0
220,2.2,0.463684,0.634485,122,142,0,0
230,2.3,0.43695,0.646431,122,143,0,0
240,2.4,0.45945,0.647431,122,143,0,0
250,2.5,0.42945,0.650431,122,143,0,0
260,2.6,0.433196,0.67082,122,143,0,0
270,2.7,0.445696,0.65182,122,143,0,0
280,2.8,0.429696,0.65482,122,143,0,0
290,2.9,0.445696,0.65832,122,143,0,0
300,3,0.439696,0.65432,122,143,0,0
310,3.1,0.437196,0.65782,122,143,0,0
320,3.2,0.465196,0.62732,122,143,0,0
330,3.3,0.439196,0.66982,122,143,0,0
340,3.4,0.431196,0.65482,122,143,0,0
350,3.5,0.449696,0.65532,122,143,0,0
360,3.6,0.451196,0.66932,122,143,0,0
370,3.7,0.444696,0.65082,122,143,0,0
380,3.8,0.467196,0.65232,122,143,0,0
390,3.9,0.460696,0.63832,122,143,0,0
400,4,0.430696,0.65082,122,143,0,0
410,4.1,0.474196,0.66382,122,143,0,0
420,4.2,0.436196,0.66832,122,143,0,0
430,4.3,0.433196,0.65032,122,143,0,0
440,4.4,0.432196,0.65032,122,143,0,0
450,4.5,0.434196,0.66132,122,143,0,0
460,4.6,0.444196,0.66982,122,143,0,0
470,4.7,0.452196,0.66482,122,143,0,0
480,4.8,0.449696,0.67082,123,143,0,0
490,4.9,0.470696,0.64632,122,143,0,0
500,5,0.432196,0.62832,122,143,0,0
510,5.1,0.478434,0.63985,122,143,0,0
520,5.2,0.478934,0.62935,122,143,0,0
530,5.3,0.449196,0.66332,122,143,0,0
540,5.4,0.464696,0.62632,122,143,0,0
550,5.5,0.452196,0.63382,122,143,0,0
