Step,Time,L1_V,L2_V,Off1,Off2,Drift_En,Lim_En
0,0,0.1,0.5,128,128,0,0
10,0.1,0.1,0.5,128,128,0,0
20,0.2,0.1,0.4995,129,129,0,0
30,0.3,0.1,0.5205,131,130,0,0
40,0.4,0.1,0.511389,133,131,0,0
50,0.5,0.1,0.519945,135,133,0,0
60,0.6,0.1,0.529864,137,134,0,0
70,0.7,0.1,0.600328,139,135,0,0
80,0.8,0.1,0.587221,141,136,0,0
90,0.9,0.1,0.607381,143,136,0,0
100,1,0.1,0.587156,145,137,0,0
110,1.1,0.1,0.639512,147,137,0,0
120,1.2,0.1,0.630729,149,138,0,0
130,1.3,0.1,0.648255,151,138,0,0
140,1.4,0.1,0.644411,153,138,0,0
150,1.5,0.1,0.629556,155,139,0,0
160,1.6,0.1,0.654691,157,139,0,0
170,1.7,0.1,0.639752,159,139,0,0
180,1.8,0.1,0.66432,161,139,0,0
190,1.9,0.1,0.667378,163,139,0,0
200,2,0.1,0.640424,165,139,0,0
210,2.1,0.1,0.676961,167,139,0,0
220,2.2,0.1,0.648486,169,139,0,0
230,2.3,0.1,0.649001,171,139,0,0
240,2.4,0.1,0.652004,173,139,0,0
250,2.5,0.1,0.688997,175,138,0,0
260,2.6,0.1,0.68548,177,138,0,0
270,2.7,0.1,0.656995,179,138,1,0
280,2.8,0.1,0.660505,181,138,1,0
290,2.9,0.1,0.658503,183,138,1,0
300,3,0.1,0.65049,185,138,1,0
310,3.1,0.1,0.683966,187,138,1,0
320,3.2,0.1,0.663932,189,138,1,0
330,3.3,0.1,0.676386,191,137,1,0
340,3.4,0.1,0.680498,193,137,1,0
350,3.5,0.1,0.68048,195,137,1,0
360,3.6,0.1,0.665951,197,137,1,0
370,3.7,0.1,0.69041,199,137,1,0
380,3.8,0.1,0.694359,201,136,1,0
390,3.9,0.1,0.682796,203,136,1,0
400,4,0.1,0.669466,205,136,1,0
410,4.1,0.1,0.693932,207,136,1,0
420,4.2,0.1,0.675886,209,136,1,0
430,4.3,0.1,0.694829,211,135,1,0
440,4.4,0.1,0.67648,213,135,1,0
450,4.5,0.1,0.65145,215,135,1,0
460,4.6,0.1,0.67891,217,135,1,0
470,4.7,0.1,0.691859,219,134,1,0
480,4.8,0.1,0.667796,221,134,1,0
490,4.9,0.1,0.680966,223,134,1,0
500,5,0.1,0.691432,225,134,1,0
510,5.1,0.1,0.649385,227,134,1,0
520,5.2,0.1,0.685329,229,133,1,0
530,5.3,0.1,0.66648,231,133,1,0
540,5.4,0.1,0.685451,233,133,1,0
550,5.5,0.1,0.67741,235,133,1,0
560,5.6,0.1,0.669359,237,132,1,0
570,5.7,0.1,0.652296,239,132,1,0
580,5.8,0.1,0.683466,241,132,1,0
590,5.9,0.1,0.651432,243,132,1,0
600,6,0.1,0.649386,245,132,1,0
610,6.1,0.1,0.674829,247,132,1,0
620,6.2,0.1,0.657261,249,131,1,0
630,6.3,0.1,0.648951,251,131,1,0
640,6.4,0.1,0.649411,253,131,1,0
650,6.5,0.1,0.654859,255,131,1,1
660,6.6,0.1,0.696297,255,131,1,1
670,6.7,0.1,0.667761,255,131,1,1
680,6.8,0.1,0.682761,255,130,1,1
690,6.9,0.1,0.67498,255,130,1,1
700,7,0.1,0.67848,255,130,1,1
710,7.1,0.1,0.68148,255,130,1,1
720,7.2,0.1,0.659479,255,129,1,1
730,7.3,0.1,0.64848,255,129,1,1
740,7.4,0.1,0.672475,255,129,1,1
750,7.5,0.1,0.660975,255,129,1,1
760,7.6,0.1,0.657475,255,129,1,1
770,7.7,0.1,0.650975,255,129,1,1
780,7.8,0.1,0.646475,255,129,1,1
790,7.9,0.1,0.677475,255,129,1,1
800,8,0.1,0.660975,255,129,1,1
810,8.1,0.1,0.650975,255,129,1,1
820,8.2,0.1,0.665475,255,129,1,1
