Step,Time,L1_V,L2_V,Off1,Off2,Drift_En,Lim_En
0,0,0.5,0.9,128,128,0,0
10,0.1,0.5,0.9,128,128,0,0
20,0.2,0.51,0.9,127,126,0,0
30,0.3,0.510984,0.9,127,124,0,0
40,0.4,0.462979,0.9,126,122,0,0
50,0.5,0.490196,0.9,126,120,0,0
60,0.6,0.491192,0.9,126,118,0,0
70,0.7,0.479187,0.9,125,116,0,0
80,0.8,0.472685,0.9,125,114,0,0
90,0.9,0.434449,0.9,125,112,0,0
100,1,0.429458,0.9,125,110,0,0
110,1.1,0.44247,0.9,125,108,0,0
120,1.2,0.422485,0.9,125,106,0,0
130,1.3,0.447003,0.9,126,104,0,0
140,1.4,0.465703,0.9,126,102,0,0
150,1.5,0.451214,0.9,126,100,0,0
160,1.6,0.451227,0.9,126,98,0,0
170,1.7,0.452243,0.9,126,96,0,0
180,1.8,0.453763,0.9,126,94,0,0
190,1.9,0.418785,0.9,126,92,0,0
200,2,0.441311,0.9,126,90,0,0
210,2.1,0.44684,0.9,126,88,0,0
220,2.2,0.404373,0.9,126,86,1,0
230,2.3,0.420411,0.9,127,84,1,0
240,2.4,0.437047,0.9,127,82,1,0
250,2.5,0.453575,0.9,127,80,1,0
260,2.6,0.410607,0.9,127,78,1,0
270,2.7,0.403142,0.9,128,76,1,0
280,2.8,0.442285,0.9,128,74,1,0
290,2.9,0.411811,0.9,128,72,1,0
300,3,0.43184,0.9,128,70,1,0
310,3.1,0.451874,0.9,128,68,1,0
320,3.2,0.436911,0.9,129,66,1,0
330,3.3,0.416547,0.9,129,64,1,0
340,3.4,0.420075,0.9,129,62,1,0
350,3.5,0.425607,0.9,129,60,1,0
360,3.6,0.422142,0.9,130,58,1,0
370,3.7,0.423681,0.9,130,56,1,0
380,3.8,0.41031,0.9,130,54,1,0
390,3.9,0.43334,0.9,130,52,1,0
400,4,0.426373,0.9,130,50,1,0
410,4.1,0.44041,0.9,131,48,1,0
420,4.2,0.454048,0.9,131,46,1,0
430,4.3,0.451575,0.9,131,44,1,0
440,4.4,0.405607,0.9,131,42,1,0
450,4.5,0.449142,0.9,132,40,1,0
460,4.6,0.421682,0.9,132,38,1,0
470,4.7,0.417311,0.9,132,36,1,0
480,4.8,0.42784,0.9,132,34,1,0
490,4.9,0.433874,0.9,132,32,1,0
500,5,0.406411,0.9,133,30,1,0
510,5.1,0.407953,0.9,133,28,1,0
520,5.2,0.455575,0.9,133,26,1,0
530,5.3,0.417607,0.9,133,24,1,0
540,5.4,0.407642,0.9,133,22,1,0
550,5.5,0.424681,0.9,134,20,1,0
560,5.6,0.42881,0.9,134,18,1,0
570,5.7,0.41134,0.9,134,16,1,0
580,5.8,0.416373,0.9,134,14,1,0
590,5.9,0.41991,0.9,135,12,1,0
600,6,0.429952,0.9,135,10,1,0
610,6.1,0.408075,0.9,135,8,1,0
620,6.2,0.451106,0.9,135,6,1,0
630,6.3,0.405641,0.9,136,4,1,0
640,6.4,0.406181,0.9,136,2,1,0
650,6.5,0.445811,0.9,136,0,1,1
660,6.6,0.44084,0.9,136,0,1,1
670,6.7,0.420107,0.9,136,0,1,1
680,6.8,0.420607,0.9,136,0,1,1
690,6.9,0.413607,0.9,137,0,1,1
700,7,0.455743,0.9,137,0,1,1
710,7.1,0.443243,0.9,137,0,1,1
720,7.2,0.438743,0.9,137,0,1,1
730,7.3,0.423243,0.9,137,0,1,1
740,7.4,0.438743,0.9,137,0,1,1
750,7.5,0.443743,0.9,137,0,1,1
760,7.6,0.439743,0.9,137,0,1,1
770,7.7,0.460743,0.9,137,0,1,1
780,7.8,0.431243,0.9,138,0,1,1
790,7.9,0.470942,0.9,138,0,1,1
800,8,0.461442,0.9,138,0,1,1
810,8.1,0.464442,0.9,138,0,1,1
820,8.2,0.459942,0.9,138,0,1,1
830,8.3,0.452442,0.9,138,0,1,1
840,8.4,0.434442,0.9,138,0,1,1
850,8.5,0.460442,0.9,138,0,1,1
860,8.6,0.433442,0.9,138,0,1,1
870,8.7,0.439442,0.9,138,0,1,1
880,8.8,0.445442,0.9,138,0,1,1
890,8.9,0.457442,0.9,138,0,1,1
900,9,0.427442,0.9,138,0,1,1
910,9.1,0.471942,0.9,138,0,1,1
920,9.2,0.443442,0.9,138,0,1,1
930,9.3,0.440942,0.9,138,0,1,1
940,9.4,0.456942,0.9,137,0,1,1
950,9.5,0.427243,0.9,137,0,1,1
960,9.6,0.417243,0.9,137,0,1,1
970,9.7,0.464743,0.9,138,0,1,1
980,9.8,0.437942,0.9,138,0,1,1
990,9.9,0.439942,0.9,138,0,1,1
1000,10,0.475442,0.9,138,0,1,1
1010,10.1,0.469942,0.9,138,0,1,1
1020,10.2,0.439442,0.9,138,0,1,1
1030,10.3,0.475442,0.9,138,0,1,1
1040,10.4,0.427442,0.9,138,0,1,1
1050,10.5,0.438942,0.9,138,0,1,1
1060,10.6,0.440442,0.9,138,0,1,1
1070,10.7,0.456442,0.9,137,0,1,1
1080,10.8,0.437743,0.9,137,0,1,1
1090,10.9,0.444743,0.9,138,0,1,1
1100,11,0.454942,0.9,138,0,1,1
1110,11.1,0.432442,0.9,138,0,1,1
1120,11.2,0.433442,0.9,138,0,1,1
1130,11.3,0.465942,0.9,138,0,1,1
1140,11.4,0.460442,0.9,138,0,1,1
1150,11.5,0.433442,0.9,138,0,1,1
1160,11.6,0.454942,0.9,138,0,1,1
1170,11.7,0.467442,0.9,138,0,1,1
1180,11.8,0.462442,0.9,138,0,1,1
1190,11.9,0.454942,0.9,137,0,1,1
1200,12,0.460442,0.9,137,0,1,1
1210,12.1,0.437743,0.9,138,0,1,1
1220,12.2,0.466942,0.9,138,0,1,1
1230,12.3,0.430442,0.9,138,0,1,1
1240,12.4,0.441942,0.9,138,0,1,1
1250,12.5,0.450442,0.9,138,0,1,1
1260,12.6,0.453942,0.9,138,0,1,1
1270,12.7,0.450442,0.9,138,0,1,1
1280,12.8,0.429442,0.9,138,0,1,1
1290,12.9,0.450942,0.9,138,0,1,1
1300,13,0.445442,0.9,138,0,1,1
1310,13.1,0.454942,0.9,138,0,1,1
1320,13.2,0.460942,0.9,138,0,1,1
1330,13.3,0.443942,0.9,138,0,1,1
1340,13.4,0.448942,0.9,138,0,1,1
1350,13.5,0.474942,0.9,138,0,1,1
1360,13.6,0.473942,0.9,138,0,1,1
1370,13.7,0.469442,0.9,138,0,1,1
1380,13.8,0.472942,0.9,138,0,1,1
1390,13.9,0.466942,0.9,137,0,1,1
1400,14,0.431243,0.9,137,0,1,1
1410,14.1,0.438743,0.9,137,0,1,1
1420,14.2,0.423243,0.9,137,0,1,1
1430,14.3,0.455243,0.9,137,0,1,1
1440,14.4,0.427243,0.9,138,0,1,1
1450,14.5,0.449442,0.9,138,0,1,1
1460,14.6,0.436942,0.9,138,0,1,1
1470,14.7,0.467942,0.9,138,0,1,1
1480,14.8,0.439442,0.9,138,0,1,1
1490,14.9,0.440942,0.9,138,0,1,1
