Step,Time,L1_V,L2_V,Off1,Off2,Drift_En,Lim_En
0,0,0.5,0.5,128,128,0,0
10,0.1,0.5,0.5,128,128,0,0
20,0.2,0.5225,0.494,127,129,0,0
30,0.3,0.491737,0.49075,127,130,0,0
40,0.4,0.495742,0.542174,126,132,0,0
50,0.5,0.46372,0.553566,126,133,0,0
60,0.6,0.497226,0.529577,125,134,0,0
70,0.7,0.504479,0.543423,125,135,0,0
80,0.8,0.474454,0.57346,125,136,0,0
90,0.9,0.485707,0.597559,124,137,0,0
100,1,0.490961,0.599006,124,138,0,0
110,1.1,0.487687,0.605853,124,138,0,0
120,1.2,0.457439,0.585656,124,139,0,0
130,1.3,0.461691,0.622785,123,139,0,0
140,1.4,0.488691,0.614785,123,140,0,0
150,1.5,0.453684,0.598136,123,140,0,0
160,1.6,0.475184,0.618136,123,140,0,0
170,1.7,0.456684,0.626136,123,141,0,0
180,1.8,0.483434,0.647411,123,141,0,0
190,1.9,0.448434,0.624411,123,141,0,0
200,2,0.445434,0.633411,123,141,0,0
210,2.1,0.466934,0.610911,123,141,0,0
220,2.2,0.457934,0.631411,123,142,0,0
230,2.3,0.451934,0.615411,123,142,0,0
240,2.4,0.442184,0.654485,122,142,0,0
250,2.5,0.42495,0.615931,122,142,0,0
260,2.6,0.43395,0.616431,122,142,0,0
270,2.7,0.47145,0.654931,122,142,0,0
280,2.8,0.45095,0.621931,122,142,0,0
290,2.9,0.46745,0.634931,122,143,0,0
300,3,0.45995,0.620431,122,143,0,0
310,3.1,0.437196,0.63532,122,143,0,0
320,3.2,0.441196,0.66482,122,143,0,0
330,3.3,0.445696,0.64732,122,143,0,0
340,3.4,0.459696,0.67382,122,143,0,0
350,3.5,0.451196,0.64982,122,143,0,0
360,3.6,0.429696,0.64132,122,143,0,0
370,3.7,0.431196,0.66132,122,143,0,0
380,3.8,0.466196,0.63082,122,143,0,0
390,3.9,0.445196,0.67382,122,143,0,0
400,4,0.428196,0.63582,122,143,0,0
410,4.1,0.439196,0.63482,122,143,0,0
420,4.2,0.473696,0.63182,122,143,0,0
430,4.3,0.472696,0.65382,122,143,0,0
440,4.4,0.446196,0.63382,122,143,0,0
450,4.5,0.429696,0.63432,122,143,0,0
460,4.6,0.464196,0.66282,122,143,0,0
470,4.7,0.453696,0.66482,122,143,0,0
480,4.8,0.446696,0.64482,122,143,0,0
490,4.9,0.432196,0.65382,122,143,0,0
500,5,0.446196,0.63382,122,143,0,0
510,5.1,0.435696,0.66032,122,143,0,0
520,5.2,0.0995056,0.447059,123,143,0,0
530,5.3,0.098506,0.481497,125,145,0,0
540,5.4,0.0805069,0.485146,127,147,0,0
