Step,Time,L1_V,L2_V,Off1,Off2,Drift_En,Lim_En
0,0,0.5,0.5,128,128,0,0
10,0.1,0.5,0.5,127,129,0,0
20,0.2,0.504984,0.506477,126,130,0,0
30,0.3,0.497484,0.504389,126,132,0,0
40,0.4,0.460954,0.522217,126,133,0,0
50,0.5,0.464954,0.576023,125,134,0,0
60,0.6,0.456934,0.57046,125,135,0,0
70,0.7,0.470934,0.608727,125,136,0,0
80,0.8,0.462434,0.596306,125,137,0,0
90,0.9,0.440934,0.599181,125,137,0,0
100,1,0.442434,0.619181,125,138,0,0
110,1.1,0.477434,0.599834,124,138,0,0
120,1.2,0.443949,0.642834,124,139,0,0
130,1.3,0.426949,0.615755,124,139,0,0
140,1.4,0.437949,0.614755,124,139,0,0
150,1.5,0.472449,0.611755,124,139,0,0
160,1.6,0.471449,0.633755,124,140,0,0
170,1.7,0.444949,0.624431,124,140,0,0
180,1.8,0.428449,0.624931,124,140,0,0
190,1.9,0.462949,0.653431,124,140,0,0
200,2,0.452449,0.655431,124,140,0,0
210,2.1,0.445449,0.635431,124,140,0,0
220,2.2,0.430949,0.644431,124,140,0,0
230,2.3,0.444949,0.624431,124,141,0,0
240,2.4,0.434449,0.661351,124,141,0,0
250,2.5,0.449449,0.635351,124,141,0,0
260,2.6,0.448449,0.668851,124,141,0,0
270,2.7,0.430449,0.659351,124,141,0,0
280,2.8,0.449449,0.628851,124,141,0,0
290,2.9,0.459949,0.660351,124,141,0,0
300,3,0.441949,0.636351,124,141,0,0
310,3.1,0.439949,0.642351,124,141,0,0
320,3.2,0.441949,0.654351,124,141,0,0
330,3.3,0.466949,0.632351,124,141,0,0
340,3.4,0.451449,0.660851,124,141,0,0
350,3.5,0.437949,0.638351,124,141,0,0
360,3.6,0.459949,0.634351,124,141,0,0
370,3.7,0.455949,0.665851,124,141,0,0
380,3.8,0.450449,0.660351,124,141,0,0
390,3.9,0.444949,0.631851,124,141,0,0
400,4,0.470949,0.650351,124,141,0,0
410,4.1,0.462949,0.664851,124,141,0,0
420,4.2,0.459949,0.632851,124,141,0,0
430,4.3,0.431949,0.673351,124,141,0,0
440,4.4,0.426449,0.648351,124,141,0,0
450,4.5,0.453449,0.652851,124,141,0,0
460,4.6,0.443949,0.636351,124,141,0,0
470,4.7,0.453449,0.635931,124,141,0,0
480,4.8,0.425449,0.663851,124,141,0,0
490,4.9,0.470449,0.646351,124,140,0,0
500,5,0.462449,0.652931,124,140,0,0
510,5.1,0.124527,0.644931,125,141,0,0
520,5.2,0.0965287,0.633351,127,141,0,0
530,5.3,0.109534,0.626351,129,141,0,0
540,5.4,0.0965393,0.655851,131,141,0,0
550,5.5,0.0875459,0.658851,133,141,0,0
560,5.6,0.0935535,0.655351,135,141,0,0
570,5.7,0.0890624,0.643851,137,141,0,0
580,5.8,0.114573,0.631851,139,141,0,0
590,5.9,0.101085,0.662351,141,141,0,0
600,6,0.0910982,0.651851,143,141,0,0
610,6.1,0.120114,0.640351,145,141,0,0
620,6.2,0.0936324,0.627351,147,141,0,0
630,6.3,0.0931535,0.637851,149,141,0,0
640,6.4,0.116678,0.651351,151,141,0,0
650,6.5,0.102206,0.637851,153,141,0,0
660,6.6,0.0917379,0.638351,155,141,0,0
670,6.7,0.104775,0.662851,157,141,0,0
680,6.8,0.124817,0.634351,159,141,0,0
690,6.9,0.118366,0.642351,161,141,0,0
700,7,0.0769214,0.671851,163,141,0,0
710,7.1,0.0814851,0.649351,165,141,0,0
720,7.2,0.077058,0.665351,167,141,0,0
730,7.3,0.107141,0.657351,169,141,0,0
740,7.4,0.122736,0.645351,171,141,0,0
750,7.5,0.0763449,0.670851,173,141,0,0
760,7.6,0.111969,0.669851,175,141,0,0
770,7.7,0.0911095,0.651851,177,141,0,0
780,7.8,0.10377,0.641851,179,140,0,0
790,7.9,0.0884522,0.637431,181,140,1,0
800,8,0.0771595,0.651431,183,140,1,0
810,8.1,0.106895,0.620431,185,141,1,0
820,8.2,0.103162,0.673351,187,141,1,0
830,8.3,0.0939641,0.647851,189,141,1,0
840,8.4,0.104807,0.667851,191,141,1,0
850,8.5,0.102194,0.650851,193,141,1,0
860,8.6,0.121133,0.632851,195,141,1,0
870,8.7,0.125128,0.651851,197,141,1,0
880,8.8,0.118187,0.629851,199,141,1,0
890,8.9,0.080317,0.668351,201,141,1,0
900,9,0.126527,0.628351,203,141,1,0
910,9.1,0.129326,0.632851,205,141,1,0
920,9.2,0.0892253,0.646351,207,141,1,0
930,9.3,0.117235,0.632431,209,140,1,0
940,9.4,0.089369,0.650851,211,141,1,0
950,9.5,0.10914,0.629351,213,141,1,0
960,9.6,0.112064,0.654851,215,141,1,0
970,9.7,0.134658,0.630351,217,141,1,0
980,9.8,0.120939,0.657851,219,141,1,0
990,9.9,0.136927,0.667351,221,141,1,0
1000,10,0.131144,0.628351,223,141,1,0
1010,10.1,0.119613,0.628351,225,141,1,0
1020,10.2,0.113859,0.629351,227,141,1,0
1030,10.3,0.111909,0.651851,229,141,1,0
1040,10.4,0.122291,0.646351,231,141,1,0
1050,10.5,0.135036,0.635851,233,141,1,0
1060,10.6,0.150175,0.649851,235,141,1,0
1070,10.7,0.151743,0.660851,237,141,1,0
1080,10.8,0.172275,0.634351,239,141,1,0
1090,10.9,0.146306,0.630351,241,141,1,0
1100,11,0.163873,0.639351,243,141,1,0
1110,11.1,0.169014,0.647351,245,141,1,0
1120,11.2,0.188766,0.660351,247,141,1,0
1130,11.3,0.203665,0.649851,249,141,1,0
1140,11.4,0.188747,0.631351,251,141,1,0
1150,11.5,0.190544,0.648851,253,141,1,0
1160,11.6,0.229584,0.664851,255,141,1,1
1170,11.7,0.226394,0.672851,255,141,1,1
1180,11.8,0.226394,0.635351,255,141,1,1
1190,11.9,0.196894,0.665351,255,141,1,1
